Date,Unemployment rate (%)
2001-01-01,4.1884561891516
2001-02-01,4.237270443490303
2001-03-01,4.26683527417248
2001-04-01,4.3679345819780035
2001-05-01,4.344185657070291
2001-06-01,4.522974113576596
2001-07-01,4.582538599690924
2001-08-01,4.9147148320817395
2001-09-01,4.960101118835467
2001-10-01,5.339866468636786
2001-11-01,5.548391569606212
2001-12-01,5.722601434461731
2002-01-01,5.686564778326835
2002-02-01,5.679107934159679
2002-03-01,5.747468525273219
2002-04-01,5.941613404733115
2002-05-01,5.794891608825843
2002-06-01,5.795950499972377
2002-07-01,5.794078851957487
2002-08-01,5.726541111241371
2002-09-01,5.668764427833352
2002-10-01,5.71658615136876
2002-11-01,5.874201087968229
2002-12-01,5.9559097238498335
2003-01-01,5.83813563386941
2003-02-01,5.898699520876112
2003-03-01,5.881305556696937
2003-04-01,6.036566216529896
2003-05-01,6.1139931740614335
2003-06-01,6.301000979218801
2003-07-01,6.151483087005495
2003-08-01,6.07463552869678
2003-09-01,6.088173070361018
2003-10-01,5.951634450230378
2003-11-01,5.834013605442177
2003-12-01,5.668272802240866
2004-01-01,5.7000040860244345
2004-02-01,5.5668023093334424
2004-03-01,5.778391768292683
2004-04-01,5.563500170241744
2004-05-01,5.5839254751300444
2004-06-01,5.619150956191509
2004-07-01,5.508761476586409
2004-08-01,5.41459976688081
2004-09-01,5.377336091985212
2004-10-01,5.4542502012950544
2004-11-01,5.3535994384525045
2004-12-01,5.358674582429977
2005-01-01,5.258429091596916
2005-02-01,5.378663287589982
2005-03-01,5.2139280684138525
2005-04-01,5.151551777392799
2005-05-01,5.125920367678094
2005-06-01,5.041611385840068
2005-07-01,4.9561004336420575
2005-08-01,4.903891733821164
2005-09-01,5.036877975912613
2005-10-01,4.96863354244305
2005-11-01,5.041815213407523
2005-12-01,4.851696327401187
2006-01-01,4.702624256061353
2006-02-01,4.768954003226213
2006-03-01,4.689250926644255
2006-04-01,4.71895069624406
2006-05-01,4.620405245285267
2006-06-01,4.625579766639798
2006-07-01,4.739821769489421
2006-08-01,4.673864325450183
2006-09-01,4.514644406641084
2006-10-01,4.4244644536671025
2006-11-01,4.5090088316732935
2006-12-01,4.427362962574968
2007-01-01,4.6466071148722765
2007-02-01,4.527954086401757
2007-03-01,4.397880445080398
2007-04-01,4.493718634171942
2007-05-01,4.431780965481103
2007-06-01,4.56021588985958
2007-07-01,4.670900466502019
2007-08-01,4.626544199962029
2007-09-01,4.673628221674684
2007-10-01,4.7244145890862566
2007-11-01,4.7063412097377055
2007-12-01,4.966930443482894
2008-01-01,4.988219105171261
2008-02-01,4.879175805223459
2008-03-01,5.082256932713049
2008-04-01,4.9665407201711655
2008-05-01,5.440594155654783
2008-06-01,5.556887624503444
2008-07-01,5.785626889537706
2008-08-01,6.103167982617805
2008-09-01,6.1422009445558645
2008-10-01,6.504558485498076
2008-11-01,6.814581056525197
2008-12-01,7.297533219100578
2009-01-01,7.819207574087283
2009-02-01,8.346167285716135
2009-03-01,8.710658976338618
2009-04-01,8.965820761250153
2009-05-01,9.369486969052712
2009-06-01,9.505804183148477
2009-07-01,9.450363102095766
2009-08-01,9.600342175014744
2009-09-01,9.757064754561943
2009-10-01,9.982833064558081
2009-11-01,9.89030270733958
2009-12-01,9.860819928026073
2010-01-01,9.802976205988898
2010-02-01,9.833175010084974
2010-03-01,9.874378060979254
2010-04-01,9.911267478107902
2010-05-01,9.636513488782603
2010-06-01,9.422195604624518
2010-07-01,9.442322582324273
2010-08-01,9.506379554274885
2010-09-01,9.468420198084104
2010-10-01,9.448367884922055
2010-11-01,9.78491484184915
2010-12-01,9.338106085258705
2011-01-01,9.143106946882156
2011-02-01,9.020063440677745
2011-03-01,8.956420822032129
2011-04-01,9.089961769667129
2011-05-01,9.027293636262941
2011-06-01,9.104900029997522
2011-07-01,8.978524085381764
2011-08-01,8.986732570239333
2011-09-01,9.04944495267013
2011-10-01,8.829508771701924
2011-11-01,8.630488944254127
2011-12-01,8.502224098185005
2012-01-01,8.289232483271904
2012-02-01,8.284035145567042
2012-03-01,8.21523887068737
2012-04-01,8.182729949205733
2012-05-01,8.174809189880284
2012-06-01,8.184004694260492
2012-07-01,8.167901489531971
2012-08-01,8.058127588635527
2012-09-01,7.808069089971642
2012-10-01,7.794077940779408
2012-11-01,7.728308591587377
2012-12-01,7.9021769861464515
2013-01-01,8.006394329847268
2013-02-01,7.694189759967034
2013-03-01,7.541047062997968
2013-04-01,7.56785976292521
2013-05-01,7.492799094743339
2013-06-01,7.544831748518449
2013-07-01,7.284751187346962
2013-08-01,7.248481732592141
2013-09-01,7.238883143743537
2013-10-01,7.19970518448598
2013-11-01,6.947476894341932
2013-12-01,6.704385817942803
2014-01-01,6.567021988773882
2014-02-01,6.656033135455323
2014-03-01,6.652652088086754
2014-04-01,6.2444889263624015
2014-05-01,6.332699570925722
2014-06-01,6.075513624949424
2014-07-01,6.158698007140705
2014-08-01,6.148081726766157
2014-09-01,5.9356575237118685
2014-10-01,5.747457117832461
2014-11-01,5.808529400488198
2014-12-01,5.575953739477522
2015-01-01,5.6581544927720815
2015-02-01,5.489517632338296
2015-03-01,5.435927555013629
2015-04-01,5.443779447344964
2015-05-01,5.603516628502198
2015-06-01,5.250792680597471
2015-07-01,5.202010229494832
2015-08-01,5.084875168605095
2015-09-01,5.044885250712996
2015-10-01,5.040498323439399
2015-11-01,5.080558607418886
2015-12-01,5.0033220489132155
2016-01-01,4.818675764468031
2016-02-01,4.855017650025214
2016-03-01,5.001287858323019
2016-04-01,5.0690896751936965
