Date,Unemployment gap (pp)
2001-01-01,0.3388075146838565
2001-02-01,0.3087406075252166
2001-03-01,0.37957477815424223
2001-04-01,0.5616397918469134
2001-05-01,0.6040300436684403
2001-06-01,0.7865235841422931
2001-07-01,0.8527239741812527
2001-08-01,1.0091497607418503
2001-09-01,1.2369591793124113
2001-10-01,1.455637193418478
2001-11-01,1.7722176559305796
2001-12-01,1.8534605997646927
2002-01-01,1.8744403457912489
2002-02-01,1.868287331456822
2002-03-01,2.0503829006952996
2002-04-01,2.0907839321640282
2002-05-01,2.06961235971097
2002-06-01,2.0761834253944254
2002-07-01,2.099134244494958
2002-08-01,2.0800910446582597
2002-09-01,1.9677455496822427
2002-10-01,2.1129792513766374
2002-11-01,2.1205299042330434
2002-12-01,2.157584796317014
2003-01-01,2.277598637981857
2003-02-01,2.171390801654174
2003-03-01,2.275006420044198
2003-04-01,2.4628052446195556
2003-05-01,2.5124869680128055
2003-06-01,2.546991750716565
2003-07-01,2.37842763031936
2003-08-01,2.558190547501001
2003-09-01,2.4475513014276373
2003-10-01,2.4106103060018556
2003-11-01,2.212327696863286
2003-12-01,2.0848512566717323
2004-01-01,2.0596452372338145
2004-02-01,1.9623324446548058
2004-03-01,2.0515761214523884
2004-04-01,1.9090954930743869
2004-05-01,1.9327680567977765
2004-06-01,1.8591739441518893
2004-07-01,1.9807775188016188
2004-08-01,1.6736376101890849
2004-09-01,1.7833555978866116
2004-10-01,1.6990844216641996
2004-11-01,1.5790257389588787
2004-12-01,1.8137977957126012
2005-01-01,1.4542135046905624
2005-02-01,1.6650800217044943
2005-03-01,1.4814236308791613
2005-04-01,1.4113989741411253
2005-05-01,1.346656509720233
2005-06-01,1.4601087776844448
2005-07-01,1.285659798407777
2005-08-01,1.1709966574644963
2005-09-01,1.3068959877147357
2005-10-01,1.1718499017762984
2005-11-01,1.2925203761310398
2005-12-01,1.1453158089046602
2006-01-01,1.04129938448366
2006-02-01,1.038014520755207
2006-03-01,1.0221285531318771
2006-04-01,0.8719008721122323
2006-05-01,0.7928619351509334
2006-06-01,0.9324073844081604
2006-07-01,0.9388919251444774
2006-08-01,0.9946728951472936
2006-09-01,0.7702305936079705
2006-10-01,0.7116633130210168
2006-11-01,0.8235364847638875
2006-12-01,0.7579177853761596
2007-01-01,0.9025801220804652
2007-02-01,0.7733019068553757
2007-03-01,0.7233119576656994
2007-04-01,0.6690926557346217
2007-05-01,0.7424093045875191
2007-06-01,0.8350816875222611
2007-07-01,0.8200964698669253
2007-08-01,0.8946987178256518
2007-09-01,0.9522029718851774
2007-10-01,0.9366012539350965
2007-11-01,0.940293297483108
2007-12-01,1.0948984592043502
2008-01-01,1.1521137226314306
2008-02-01,1.0472982412435692
2008-03-01,1.3232869783180976
2008-04-01,1.2724635654420378
2008-05-01,1.6687151763783792
2008-06-01,1.670655271595182
2008-07-01,1.9981156444628594
2008-08-01,2.256603145125478
2008-09-01,2.3212718126729386
2008-10-01,2.8259834621354916
2008-11-01,2.9569064270918948
2008-12-01,3.39295131985656
2009-01-01,3.825240670324805
2009-02-01,4.50075755618521
2009-03-01,4.687527766990939
2009-04-01,5.131208640808513
2009-05-01,5.64181119247288
2009-06-01,5.548387910479084
2009-07-01,5.5375633740675205
2009-08-01,5.873872105420871
2009-09-01,5.906135308327052
2009-10-01,5.964839650423846
2009-11-01,5.957842497033047
2009-12-01,5.84583663591119
2010-01-01,5.753070333837771
2010-02-01,5.572797381764898
2010-03-01,5.739245279995507
2010-04-01,5.76730979444173
2010-05-01,5.195998755074425
2010-06-01,5.141167012897607
2010-07-01,5.294007333777591
2010-08-01,5.1458192030693075
2010-09-01,5.174026190895403
2010-10-01,5.212172733689367
2010-11-01,5.253027315613463
2010-12-01,4.9205377919982185
2011-01-01,4.871935748759881
2011-02-01,4.745257277666443
2011-03-01,4.616111082880108
2011-04-01,4.696150313913862
2011-05-01,4.649084686314749
2011-06-01,4.76033173248426
2011-07-01,4.479975421271464
2011-08-01,4.385084609116964
2011-09-01,4.6284209700949575
2011-10-01,4.177250063629503
2011-11-01,4.12884418436257
2011-12-01,4.0657011640972955
2012-01-01,3.7912715166924222
2012-02-01,3.7084214115133713
2012-03-01,3.833864301531955
2012-04-01,3.5927731345174125
2012-05-01,3.7002300568512174
2012-06-01,3.6853410587371354
2012-07-01,3.6273754974620056
2012-08-01,3.6482269633703313
2012-09-01,3.429951472554321
2012-10-01,3.3837635835260356
2012-11-01,3.3945785864523152
2012-12-01,3.464727621190163
2013-01-01,3.489066700609131
2013-02-01,3.2857176821019918
2013-03-01,3.127477191947891
2013-04-01,3.1124617941176176
2013-05-01,3.109671070339683
2013-06-01,3.0638372195812504
2013-07-01,2.876888986986552
2013-08-01,2.9943859695304127
2013-09-01,2.8806983772227026
2013-10-01,2.8162159291694886
2013-11-01,2.6010149027665603
2013-12-01,2.485918168469425
2014-01-01,2.3932653953716176
2014-02-01,2.452799640512276
2014-03-01,2.334619916031655
2014-04-01,2.044969698116832
2014-05-01,2.023065405937195
2014-06-01,1.7717635149818642
2014-07-01,1.72389561304358
2014-08-01,1.7797225384351076
2014-09-01,1.424866104249066
2014-10-01,1.4981955061138432
2014-11-01,1.4954268777636344
2014-12-01,1.4197878514249744
2015-01-01,1.358785025257009
2015-02-01,1.161954277128399
2015-03-01,1.080646884950717
2015-04-01,1.1942941997059657
2015-05-01,1.142863891167993
2015-06-01,0.9382698835835006
2015-07-01,1.0320027180634934
2015-08-01,0.6585278201207903
2015-09-01,0.8500012119620326
2015-10-01,0.8451975035231518
